LearDia;LearHou;SharHou;CollMem;CollExp;CourCom;UnitKerja
1;29.68;0;0;7;47;Finance
0;45.38;0;0;6;1;Finance
0;79.76;0;3;244;104;Business Support & Office Support
0;58.25;0;0;11;0;Finance
0;0;0;0;0;0;Tollroad Engineering
0;34.82;0;0;2;0;Finance
0;115.92;0;0;1100;0;Business Support & Office Support
0;17.38;0;0;0;0;Tollroad Engineering
0;0;0;0;0;0;Tollroad Engineering
300;271.26;45.66;297;1364;590;Business Support & Office Support
1;57.54;75.5;50;22;6;Business Support & Office Support
0;18.18;0;0;0;0;Tollroad Engineering
0;33.97;0;0;6;1;Tollroad Engineering
0;17.42;0;0;5;1;Tollroad Engineering
444;310.88;88.41;390;1249;1238;Business Support & Office Support
104;146.24;16.27;122;819;159;Business Support & Office Support
0;20.5;0;0;6;0;Information Technology
5;171.06;15;14;484;36;Business Support & Office Support
0;101.48;0;0;46;1;Business Support & Office Support
0;12.99;0;0;2;0;Business Support & Office Support
0;24.33;4;3;12;0;Business Support & Office Support
0;72.54;0;0;0;0;Information Technology
268;264.17;60.63;252;1353;769;Tollroad Operation
0;60.85;0.5;1;27;0;Business Support & Office Support
1534;366.69;298.55;1399;2848;582;Tollroad Operation
0;3;0;0;2;0;Tollroad Engineering
0;62.12;3;5;30;0;Business Management
0;15.71;0;0;5;9;Business Management
1;117.19;1.5;3;144;0;Business Support & Office Support
11;106.01;29.17;32;109;57;Tollroad Engineering
2;9.5;0;1;9;0;Business Support & Office Support
22;57.92;5.5;22;36;346;Tollroad Operation
0;123.52;4.75;19;54;81;Compliance & Legal
317;165.88;36.12;294;1015;519;Tollroad Operation
0;14.42;0;9;8;3;Business Management
0;7.78;0;0;3;0;Tollroad Engineering
323;412.15;39.79;309;2381;683;Tollroad Operation
0;7.58;0;0;3;0;Tollroad Engineering
0;1.5;0;0;1;0;Finance
0;49.08;0;0;9;1;Business Management
0;24.59;0;0;80;0;Tollroad Operation
0;100.46;0;0;125;16;Business Support & Office Support
0;145.08;8;4;265;6;Business Management
0;21.94;0;1;6;0;Tollroad Engineering
0;21.39;0;0;45;0;Business Support & Office Support
0;3.08;0;0;23;0;Business Support & Office Support
0;1.02;0;0;2;0;Business Support & Office Support
971;141.39;212;844;1630;876;Tollroad Operation
0;0;0;0;0;0;Tollroad Engineering
733;181.66;110.5;533;887;1037;Tollroad Engineering
60;784.31;13.5;55;764;117;Business Support & Office Support
0;1.5;0;0;1;0;Tollroad Engineering
1198;315.45;478.25;1161;1279;1064;Business Management
1549;608.01;762.76;1408;2329;2196;Tollroad Operation
1505;303.15;374.5;1230;1970;2272;Tollroad Operation
790;274.76;193.5;753;1739;1631;Tollroad Operation
0;0.01;0;0;0;0;Tollroad Operation
0;2.62;0;0;0;0;Tollroad Engineering
0;6.15;0;0;3;0;Business Support & Office Support
1434;748.23;424.84;1243;3836;2218;Tollroad Operation
0;67.12;0;6;38;19;Tollroad Engineering
1257;296.35;198.23;782;1966;2341;Tollroad Operation
0;6.73;0;0;1;0;Information Technology
0;0;0;0;0;0;Tollroad Engineering
0;0;0;0;0;0;Tollroad Engineering
0;30.18;0;0;116;0;Finance
37;51.23;1.47;7;348;139;Tollroad Operation
0;9.4;0;0;32;0;Tollroad Engineering
0;9.57;0;0;1;0;Tollroad Engineering
88;69.94;12.17;8;83;117;Business Support & Office Support
0;2.61;0;0;0;0;Tollroad Engineering
0;84.6;0;0;243;0;Tollroad Operation
0;2.58;0;0;1;0;Business Support & Office Support
1;37.28;1.33;5;63;142;Business Support & Office Support
0;285.73;1.5;2;353;41;Tollroad Engineering
0;16.8;0;0;380;0;Tollroad Engineering
0;0;0;0;0;0;Tollroad Engineering
0;0;0;0;0;0;Tollroad Engineering
434;66.84;90.08;355;658;480;Tollroad Operation
0;32.37;0;0;14;0;Tollroad Engineering
0;221.19;0;0;993;0;Finance
1497;853.84;372.03;1363;3764;2197;Business Support & Office Support
0;9.29;0;0;61;0;Tollroad Engineering
25;234.17;5.25;70;561;742;Business Support & Office Support
0;8.05;0;0;8;0;Business Support & Office Support
0;27.92;1;1;15;34;Tollroad Engineering
0;16.57;0;0;6;9;Business Support & Office Support
0;23.54;2;2;10;13;Information Technology
0;14.18;0;0;1;0;Business Support & Office Support
0;25.81;0;0;1;0;Information Technology
230;88.02;206.58;262;997;584;Business Support & Office Support
1586;367.74;387.46;1336;2654;2194;Business Support & Office Support
72;20.22;0;1;7;18;Business Support & Office Support
0;10.08;0;0;3;0;Tollroad Engineering
1465;382.68;506.67;1322;2593;2405;Business Support & Office Support
1195;395.93;344.91;1389;1935;2049;Business Support & Office Support
0;2.23;0;0;1;0;Business Management
0;86.85;0;0;114;1;Information Technology
0;26.07;0;0;6;1;Business Management
86;240.64;57.25;137;1630;788;Business Support & Office Support
1457;510.04;1259.86;1363;1721;2325;Business Support & Office Support
0;36.71;0;0;212;1;Finance
0;11.28;0;0;4;0;Tollroad Engineering
1;0;0;0;0;0;Business Support & Office Support
0;199.63;0;0;887;0;Information Technology
0;3.97;0;0;2;0;Tollroad Engineering
3;65.69;0;0;171;0;Business Support & Office Support
0;6.2;0;0;2;0;Business Management
0;172.57;0;2;150;0;Information Technology
27;134.27;104.82;64;383;74;Tollroad Engineering
0;41.79;109.75;118;170;0;Business Support & Office Support
0;3.5;0;0;2;0;Tollroad Engineering
1;25.62;3;1;9;5;Tollroad Operation
0;3.3;0;0;1;17;Tollroad Engineering
0;6.91;0;0;3;0;Tollroad Engineering
0;67.03;0;0;292;0;Information Technology
0;46.41;0;0;28;0;Business Management
10;67.88;0;4;64;156;Business Support & Office Support
0;26.54;2;8;251;3;Tollroad Operation
0;13.87;0;0;5;81;Business Support & Office Support
16;228.91;39.09;38;728;62;Finance
0;77.09;0;0;1;0;Tollroad Engineering
0;15.43;0;0;2;3;Compliance & Legal
0;6.36;0;0;21;0;Business Support & Office Support
0;13.86;0;0;0;0;Business Management
0;18.64;0.67;1;18;29;Business Support & Office Support
5;62.1;13.66;17;22;2;Business Support & Office Support
0;43.11;0;0;0;0;Finance
0;34.96;0;1;18;0;Finance
0;6.29;0;0;18;0;Information Technology
0;19.43;0;0;1;0;Finance
0;10.14;0;0;0;0;Tollroad Operation
0;167.28;0;0;387;1;Information Technology
0;0;0;0;0;0;Information Technology
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Business Support & Office Support
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Information Technology
0;0;0;0;0;0;Tollroad Operation
221;121;66.56;301;295;985;Tollroad Operation
0;0;0;0;0;0;Information Technology
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Engineering
0;28.15;0;1;92;0;Tollroad Operation
0;36.15;0;1;5;0;Tollroad Engineering
0;5.52;0;0;95;0;Tollroad Operation
0;0.13;0;0;7;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;1.61;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Compliance & Legal
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Information Technology
0;0;0;0;0;0;Business Management
0;1.45;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Business Management
0;0;0;0;0;0;Information Technology
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Engineering
0;0;0;0;0;0;Tollroad Operation
0;0.02;0;0;0;0;Tollroad Engineering
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;1.75;0;0;2;1;Business Management
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
66;13.61;0;1;4;8;Business Management
0;16.07;0;0;11;0;Business Management
0;10.67;0;0;36;12;Tollroad Operation
0;4.25;0;0;119;0;Tollroad Engineering
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Business Management
0;0;0;0;0;0;Tollroad Operation
0;23.52;0;0;56;71;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;14.54;0;0;11;62;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;12.16;0;2;130;0;Compliance & Legal
0;0;0;0;0;0;Tollroad Operation
0;0.02;0;0;5;0;Tollroad Operation
1216;142.24;162.39;765;1229;856;Tollroad Operation
0;1.99;0;0;0;0;Business Management
0;18.29;0;0;178;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;12.54;0;0;5;165;Tollroad Engineering
0;1.39;0.75;2;16;3;Tollroad Operation
0;0;0;0;2;0;Business Management
0;12.6;0.5;5;137;29;Tollroad Operation
0;3.12;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Business Support & Office Support
0;0.41;0;0;0;0;Tollroad Operation
0;15.75;0;0;11;0;Information Technology
0;22.88;0;1;216;0;Tollroad Operation
1;40.73;0;10;227;8;Tollroad Operation
11;0;0;0;0;0;Tollroad Operation
0;7.02;0;0;2;0;Tollroad Engineering
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;34.42;0;0;322;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Engineering
0;373.23;0.05;3;322;536;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;2;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0.02;0;0;0;0;Finance
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;2.43;0;0;0;0;Tollroad Engineering
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0.32;0;0;5;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0.56;0;0;0;5;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
13;35.92;0.12;3;96;40;Tollroad Operation
0;0;0;0;0;0;Business Support & Office Support
0;0;0;0;0;0;Tollroad Operation
0;2.42;0;0;0;0;Tollroad Operation
2;26.5;0.5;2;67;0;Business Support & Office Support
0;5.69;0;0;1;0;Business Support & Office Support
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Information Technology
0;0;0;0;0;0;Tollroad Operation
0;67.84;0;0;216;0;Finance
0;1.97;0;0;23;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
