LearDia;LearHou;SharHou;CollMem;CollExp;CourCom
0;33.97;0;0;6;1
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
949;262.56;181.9;939;2107;1741
0;0;0;0;0;0
0;99.66;0;1;210;0
0;0;0;0;0;0
0;0;0.27;5;1;0
1;40.73;0;10;227;8
0;0;0;0;0;0
0;2.09;0;0;0;12
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;32.34;0;0;250;0
18;77.39;23;78;127;708
0;0;0;0;0;0
935;192.45;301.05;627;989;1864
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0.58;0;0;0;0
0;0.46;0;0;0;3
0;1.91;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
31;11.47;1.75;9;126;111
0;0;0;0;0;1
0;0;0;0;0;0
961;370.77;0;0;1223;16
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
6;1.06;0.17;3;5;10
0;0;0;0;0;0
7;381.05;5;13;1136;2
8;220.85;18;8;210;11
0;0;0;0;0;0
143;814.85;134.33;183;3414;438
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;1;0;0
904;141.11;573.76;855;872;1700
0;19.04;4.5;21;54;107
0;5.52;0;0;95;0
0;0;0;0;0;0
0;0;0;0;0;0
0;11.23;0;0;40;0
0;0;0;0;0;0
614;176.49;208.02;923;1105;1280
0;0;0;0;0;0
1533;361.81;298.45;1361;2710;2524
0;0;0;0;0;0
0;0;0;0;0;0
0;0.38;2.5;10;17;10
0;0.47;0;0;5;1
0;0;0;0;0;0
0;0.26;0;0;4;0
0;2.53;0;0;9;0
0;0;0;0;0;0
0;0;0;0;0;0
0;2.8;0;0;1;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;97.97;0;0;4;4
0;0;0;0;0;0
0;137.21;1.5;1;38;3
0;0;0;0;0;0
0;50.41;16;6;10;1
0;73.39;0;1;52;59
0;2.02;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;1.44;0;0;0;8
0;64.61;0;5;268;18
0;0;0;0;0;0
0;0;0;0;0;0
