LearDia;LearHou;SharHou;CollMem;CollExp;CourCom;UnitKerja
0;0;0;0;0;0;6
0;30.18;0;0;116;0;4
37;51.23;1.47;7;348;139;7
0;9.4;0;0;32;0;6
0;9.57;0;0;1;0;6
88;69.94;12.17;8;83;117;2
0;2.61;0;0;0;0;6
0;84.6;0;0;243;0;7
0;2.58;0;0;1;0;2
1;37.28;1.33;5;63;142;2
0;285.73;1.5;2;353;41;6
0;16.8;0;0;380;0;6
0;0;0;0;0;0;6
0;0;0;0;0;0;6
434;66.84;90.08;355;658;480;7
0;32.37;0;0;14;0;6
0;221.19;0;0;993;0;4
1497;853.84;372.03;1363;3764;2197;2
0;9.29;0;0;61;0;6
25;234.17;5.25;70;561;742;2
0;8.05;0;0;8;0;2
0;27.92;1;1;15;34;6
0;16.57;0;0;6;9;2
0;23.54;2;2;10;13;5
0;14.18;0;0;1;0;2
0;25.81;0;0;1;0;5
230;88.02;206.58;262;997;584;2
1586;367.74;387.46;1336;2654;2194;2
72;20.22;0;1;7;18;2
0;10.08;0;0;3;0;6
1465;382.68;506.67;1322;2593;2405;2
1195;395.93;344.91;1389;1935;2049;2
0;2.23;0;0;1;0;1
0;86.85;0;0;114;1;5
0;26.07;0;0;6;1;1
86;240.64;57.25;137;1630;788;2
1457;510.04;1259.86;1363;1721;2325;2
0;36.71;0;0;212;1;4
0;11.28;0;0;4;0;6
1;0;0;0;0;0;2
0;199.63;0;0;887;0;5
0;3.97;0;0;2;0;6
3;65.69;0;0;171;0;2
0;6.2;0;0;2;0;1
0;172.57;0;2;150;0;5
27;134.27;104.82;64;383;74;6
0;41.79;109.75;118;170;0;2
0;3.5;0;0;2;0;6
1;25.62;3;1;9;5;7
0;3.3;0;0;1;17;6
0;6.91;0;0;3;0;6
0;67.03;0;0;292;0;5
0;46.41;0;0;28;0;1
10;67.88;0;4;64;156;2
0;26.54;2;8;251;3;7
0;13.87;0;0;5;81;2
16;228.91;39.09;38;728;62;4
0;77.09;0;0;1;0;6
0;15.43;0;0;2;3;3
0;6.36;0;0;21;0;2
0;13.86;0;0;0;0;1
0;18.64;0.67;1;18;29;2
5;62.1;13.66;17;22;2;2
0;43.11;0;0;0;0;4
0;34.96;0;1;18;0;4
0;6.29;0;0;18;0;5
0;19.43;0;0;1;0;4
0;10.14;0;0;0;0;7
0;167.28;0;0;387;1;5
0;0;0;0;0;0;5
0;0;0;0;0;0;7
0;0;0;0;0;0;2
0;0;0;0;0;0;7
0;0;0;0;0;0;5
0;0;0;0;0;0;7
221;121;66.56;301;295;985;7
0;0;0;0;0;0;5
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;0;0;0;0;0;6
0;28.15;0;1;92;0;7
0;36.15;0;1;5;0;6
0;5.52;0;0;95;0;7
0;0.13;0;0;7;0;7
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;1.61;0;0;0;0;7
0;0;0;0;0;0;7
0;0;0;0;0;0;3
0;0;0;0;0;0;7
0;0;0;0;0;0;5
0;0;0;0;0;0;1
0;1.45;0;0;0;0;7
0;0;0;0;0;0;7
0;0;0;0;0;0;1
0;0;0;0;0;0;5
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;0;0;0;0;0;6
0;0;0;0;0;0;7
0;0.02;0;0;0;0;6
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;1.75;0;0;2;1;1
0;0;0;0;0;0;7
0;0;0;0;0;0;7
66;13.61;0;1;4;8;1
0;16.07;0;0;11;0;1
0;10.67;0;0;36;12;7
0;4.25;0;0;119;0;6
0;0;0;0;0;0;7
0;0;0;0;0;0;1
0;0;0;0;0;0;7
0;23.52;0;0;56;71;7
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;14.54;0;0;11;62;7
0;0;0;0;0;0;7
0;12.16;0;2;130;0;3
0;0;0;0;0;0;7
0;0.02;0;0;5;0;7
1216;142.24;162.39;765;1229;856;7
0;1.99;0;0;0;0;1
0;18.29;0;0;178;0;7
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;0;0;0;0;0;7
